user_id,transaction_id,transaction_amount,transaction_time,txn_lat,txn_lon,home_lat,home_lon,device_id,merchant_id,account_balance,txn_country,user_country,txn_type,channel,is_fraud
1066,TXN1,3537.0,2025-03-28 13:24:00,26.496014247706817,70.44448614756793,26.361077346137176,70.35220225344875,236,572,43034.0,IN,IN,transfer,online,0
1092,TXN2,3959.0,2025-03-21 08:20:00,25.528863292153407,82.2058473816446,25.607141052697024,82.36192593580869,264,527,34238.0,IN,IN,payment,POS,0
1098,TXN3,3356.0,2025-03-13 04:07:00,25.361512027372708,81.87991760337661,25.29903302616873,82.10271552792194,283,544,22853.0,IN,IN,deposit,branch,0
1017,TXN4,5964.0,2025-03-08 07:18:00,27.643624469129776,70.15335544524399,27.37737465516758,70.3007658041161,253,565,33287.0,IN,IN,withdrawal,POS,0
1083,TXN5,4837.0,2025-03-01 15:51:00,24.92872537324282,81.77404019298166,24.861137801073948,81.64119710667407,286,566,21990.0,IN,IN,withdrawal,POS,0
1057,TXN6,6913.0,2025-03-12 11:38:00,26.786419847814983,80.60308615883416,26.89467773467466,80.56010950949769,258,507,31919.0,IN,IN,payment,branch,0
1086,TXN7,6938.0,2025-03-12 05:56:00,23.01695585087267,84.53438752725879,22.82072493929687,84.88603001853392,226,514,46700.0,IN,IN,deposit,branch,0
1097,TXN8,1580.0,2025-03-19 08:46:00,21.364691823056308,71.05555086705006,21.777094085494475,70.84952618369228,251,522,26716.0,IN,IN,payment,ATM,0
1096,TXN9,5444.0,2025-03-20 07:28:00,25.090244786689663,74.97440727377419,24.997661187476066,75.05679615960278,212,578,28381.0,IN,IN,withdrawal,online,0
1047,TXN10,3058.0,2025-03-10 18:01:00,26.434008974721923,79.77808795712738,26.558108440698636,79.53705404177958,200,555,28474.0,IN,IN,withdrawal,branch,0
1073,TXN11,7404.0,2025-03-10 00:38:00,21.199694764016478,80.74949021086736,21.186974927865673,81.0889620130746,232,503,36176.0,IN,IN,withdrawal,online,0
1032,TXN12,987.0,2025-03-20 14:47:00,22.387175653766185,71.76261376267321,22.388225436197004,71.76397399430651,209,594,16387.0,IN,IN,deposit,branch,0
1046,TXN13,1765.0,2025-03-17 22:43:00,22.695495159218346,80.00237759912665,22.165948527811384,80.19913688309865,277,593,25536.0,IN,IN,payment,branch,0
1096,TXN14,6931.0,2025-03-04 15:04:00,26.69144508540036,84.46922429450542,26.44505549648274,84.54291404699848,289,553,32224.0,IN,IN,deposit,branch,0
1025,TXN15,3907.0,2025-03-29 21:39:00,20.185230951508395,78.2053273554158,20.12241955899355,78.05650795940984,265,533,21065.0,IN,IN,deposit,ATM,0
1083,TXN16,7238.0,2025-03-03 03:05:00,26.219711960429525,77.37730512776857,26.25777366625407,77.37391227877421,245,511,32366.0,IN,IN,deposit,POS,0
1078,TXN17,3528.0,2025-03-03 19:28:00,22.2864530757604,80.17573072885158,22.157888349483162,80.29895029260389,253,566,32339.0,IN,IN,deposit,branch,0
1036,TXN18,3344.0,2025-03-08 04:10:00,21.893695128760346,83.66635273888485,22.06929932879515,83.28755964655856,270,570,20792.0,IN,IN,withdrawal,POS,0
1096,TXN19,6558.0,2025-03-16 20:18:00,24.319499135426636,83.25611420258998,24.40013531036865,83.2948148865277,290,565,29687.0,IN,IN,payment,online,0
1080,TXN20,3815.0,2025-03-12 09:51:00,22.430955063433036,70.23929255157374,22.60598310428528,70.48537285368756,222,577,28597.0,IN,IN,payment,branch,0
1068,TXN21,7540.0,2025-03-07 06:32:00,26.211274555055443,80.67695411443452,26.27613913704609,80.34506922112381,287,527,38620.0,IN,IN,transfer,POS,0
1049,TXN22,1383.0,2025-03-24 17:00:00,26.16224334537719,81.16888631067548,26.09806484035372,81.39567920053238,240,536,36330.0,IN,IN,withdrawal,branch,0
1055,TXN23,5324.0,2025-03-17 10:29:00,22.877435932226767,76.99275998239702,22.89097988964048,76.8150748632922,215,527,24025.0,IN,IN,transfer,POS,0
1067,TXN24,4298.0,2025-03-12 23:08:00,25.98555869076611,75.90639042274488,26.220226762126817,75.4678551904796,264,592,41252.0,IN,IN,deposit,ATM,0
1002,TXN25,1487.0,2025-03-03 23:45:00,22.204356446822707,75.34191632429871,21.99129705059212,75.61814718039564,201,551,39520.0,IN,IN,payment,online,0
1084,TXN26,3646.0,2025-03-17 17:43:00,23.714393598639358,76.24995060968398,23.852713021138907,76.58366891503748,282,585,21033.0,IN,IN,transfer,branch,0
1039,TXN27,4901.0,2025-03-24 07:29:00,26.636615362524797,80.9028274522827,26.46364018800857,80.65813615203389,222,576,38921.0,IN,IN,deposit,ATM,0
1066,TXN28,2829.0,2025-03-22 01:46:00,22.443339558571612,83.16016084441517,22.448124943231694,83.42382033289078,210,580,28002.0,IN,IN,deposit,ATM,0
1084,TXN29,6080.0,2025-03-15 08:45:00,21.043071719145743,74.63751389372976,21.081001059555646,74.82194148725074,273,524,25159.0,IN,IN,payment,ATM,0
1047,TXN30,4255.0,2025-03-23 00:51:00,21.125740720963456,77.15427702705817,20.882006535504118,77.18642907540999,247,502,21097.0,IN,IN,transfer,POS,0
1061,TXN31,3032.0,2025-03-16 20:12:00,21.31039638333102,72.36734552403951,21.61979165874613,72.47326474319452,234,589,27559.0,IN,IN,deposit,online,0
1048,TXN32,1596.0,2025-03-10 21:27:00,23.26574189412597,79.78186481277844,23.505679769424873,79.96193424242757,243,568,40607.0,IN,IN,transfer,online,0
1007,TXN33,7400.0,2025-03-30 17:27:00,24.218651411786887,75.35220797094392,24.34909645060851,75.29374341787316,250,509,41289.0,IN,IN,deposit,online,0
1099,TXN34,6079.0,2025-03-11 11:50:00,25.964877423019175,71.7743048391404,26.327477261898608,71.9488599315192,203,531,40622.0,IN,IN,deposit,online,0
1092,TXN35,7591.0,2025-03-06 00:03:00,21.0834410040234,80.65389816065284,21.056899123916843,80.72233382460429,257,510,38615.0,IN,IN,deposit,branch,0
1052,TXN36,2791.0,2025-03-02 06:14:00,27.155369797186054,84.19255653639257,26.98202700967437,84.32227217431637,212,517,36585.0,IN,IN,deposit,POS,0
1097,TXN37,5068.0,2025-03-08 21:18:00,27.39839781671592,71.27317902955195,27.59434017991311,71.04224509794149,267,565,35496.0,IN,IN,deposit,branch,0
1085,TXN38,696.0,2025-03-14 02:03:00,26.082211620616324,73.8283086205731,25.803804220215763,73.88968891789825,258,584,37745.0,IN,IN,payment,POS,0
1094,TXN39,3666.0,2025-03-21 11:59:00,22.44929337111483,71.3873727274746,22.615731485416656,71.21653513501433,273,537,41639.0,IN,IN,payment,ATM,0
1027,TXN40,913.0,2025-03-03 05:55:00,21.916871326007737,74.39921791315787,21.56804520702493,74.55830014065451,270,572,19429.0,IN,IN,payment,POS,0
1034,TXN41,5456.0,2025-03-28 22:00:00,22.58441908296482,74.84689762221005,22.92433171290247,75.0098064423018,278,565,27151.0,IN,IN,withdrawal,POS,0
1097,TXN42,3202.0,2025-03-11 06:26:00,26.025324161336464,74.73787089302064,26.01956462581439,74.92467591214928,295,552,28295.0,IN,IN,withdrawal,branch,0
1076,TXN43,5912.0,2025-03-25 22:19:00,23.883115360513514,80.74151856566885,24.245999209814595,80.74742089624917,246,503,36148.0,IN,IN,withdrawal,ATM,0
1040,TXN44,4424.0,2025-03-16 13:17:00,26.782562512043548,80.31671142097885,26.520577132230315,80.39471293366121,264,524,43856.0,IN,IN,transfer,ATM,0
